Date,Closed PnL,Size USD,Account,Trade ID,Fee,Daily_Win_Rate,value,classification,Next_Day_Profitable,Cumulative_PnL
2024-02-02,456.423473,474278.43,1,42,91.569636,0.30952380952380953,63,Greed,1,-10613.504887
2024-02-03,223.30918699999998,603820.0,1,56,109.662349,0.10714285714285714,60,Greed,1,-10390.195699999998
2024-02-04,47.62389499999999,203187.53,1,35,50.52688,0.2571428571428571,60,Greed,0,-10342.571804999998
2024-02-05,-33.45419400000003,770198.26,1,72,165.549465,0.19444444444444445,60,Greed,0,-10376.025998999998
2024-02-06,-215.615907,8047153.41,1,1088,988.606997,0.1645220588235294,64,Greed,1,-10591.641905999997
2024-02-07,241.24212,6758.73,1,15,0.339693,0.13333333333333333,62,Greed,1,-10350.399785999996
2024-02-08,770.756024,26051.12,1,10,3.0028870000000003,0.4,66,Greed,1,-9579.643761999996
2024-02-11,983.443176,212311.82,1,34,24.955292,0.20588235294117646,71,Greed,1,-8596.200585999995
2024-02-12,913.8817869999998,227247.69999999998,1,16,27.111911,0.375,70,Greed,1,-7682.318798999995
2024-02-13,559.44389,1999.99,1,14,-0.039992,1.0,79,Extreme Greed,1,-7122.874908999995
2024-02-14,3830.599833,320839.88,2,111,22.917474000000002,0.7477477477477478,74,Greed,1,-3292.2750759999944
2024-02-15,1840.797677,185188.04,2,63,30.706297,0.9047619047619048,72,Greed,1,-1451.4773989999944
2024-02-16,5491.768834,564896.51,2,182,27.22517,0.8021978021978022,72,Greed,1,4040.291435000006
2024-02-17,1929.6418,406118.07,2,94,62.055053,0.648936170212766,76,Extreme Greed,1,5969.933235000006
2024-02-18,477.6248299999999,157048.17,1,97,-3.140925,0.6288659793814433,72,Greed,1,6447.558065000006
2024-02-19,4317.768563,286377.2,2,101,14.85262,0.7623762376237624,75,Extreme Greed,1,10765.326628000006
2024-02-20,3263.628824,119419.72,2,39,3.073675,0.7948717948717948,72,Greed,1,14028.955452000006
2024-02-21,1858.7985700000002,108047.51999999999,2,22,2.970629,0.6818181818181818,78,Extreme Greed,1,15887.754022000006
2024-02-22,3894.1050699999996,373033.87,2,88,25.45258,0.45454545454545453,74,Greed,1,19781.859092000006
2024-02-23,1418.55293,111106.14,1,143,-2.067069,0.958041958041958,76,Extreme Greed,0,21200.412022000008
2024-02-25,-30.7705,4480.13,1,5,-0.0896,0.0,74,Greed,1,21169.64152200001
2024-02-26,4416.8473,192187.14,2,39,-0.09772499999999981,0.8717948717948718,72,Greed,1,25586.48882200001
2024-02-27,888.511733,209362.3,2,63,-3.761609,0.4126984126984127,79,Extreme Greed,1,26475.00055500001
2024-02-28,2503.747235,171107.13,1,45,-1.377152,0.8666666666666667,82,Extreme Greed,1,28978.74779000001
2024-02-29,9813.996992,395666.73,2,116,1.3590849999999999,0.8620689655172413,80,Extreme Greed,1,38792.74478200001
2024-03-01,8244.241409,472974.7,1,137,-0.546854,0.9343065693430657,80,Extreme Greed,1,47036.98619100001
2024-03-02,230.90060000000005,63197.56,2,31,-0.4691290000000001,0.6774193548387096,80,Extreme Greed,1,47267.88679100001
2024-03-03,8361.086245,390745.68,1,79,-2.507103,0.6835443037974683,83,Extreme Greed,1,55628.97303600001
2024-03-04,27799.775742,1577996.87,2,300,-0.559449,0.8866666666666667,82,Extreme Greed,1,83428.74877800001
2024-03-05,19791.026041,841810.32,1,180,-4.438459,0.9055555555555556,90,Extreme Greed,1,103219.77481900001
2024-03-06,6814.825139,327218.02,1,82,-3.355318,0.8780487804878049,75,Extreme Greed,1,110034.599958
2024-03-08,4271.886236,183583.18,1,67,-3.6716290000000003,0.8805970149253731,81,Extreme Greed,1,114306.48619400001
2024-03-09,9949.501624,658178.75,1,117,1.8517640000000002,0.8290598290598291,84,Extreme Greed,1,124255.98781800001
2024-03-10,2482.9272,219973.85,1,42,2.281072,0.6904761904761905,79,Extreme Greed,1,126738.91501800001
2024-03-11,3588.179495,176519.44999999998,1,42,8.47289,0.9285714285714286,82,Extreme Greed,1,130327.09451300002
2024-03-12,3039.166,103040.85,1,8,4.945953,0.875,81,Extreme Greed,0,133366.26051300002
2024-03-13,0.0,6000.799999999999,1,7,2.100278,0.0,81,Extreme Greed,1,133366.26051300002
2024-03-14,3465.865832,205933.18,2,18,11.716792,0.8888888888888888,88,Extreme Greed,1,136832.12634500003
2024-03-15,6236.513651,351894.41,3,62,49.485003,0.6612903225806451,83,Extreme Greed,1,143068.639996
2024-03-16,228.57984,37223.66,2,8,10.52828,0.125,81,Extreme Greed,1,143297.219836
2024-03-17,503.293955,99506.95,3,23,33.763329,0.43478260869565216,79,Extreme Greed,1,143800.513791
2024-03-18,1456.9577,90458.08,3,19,24.943279999999998,0.3157894736842105,77,Extreme Greed,1,145257.471491
2024-03-19,668.797973,219884.84,3,24,25.988312,0.20833333333333334,79,Extreme Greed,1,145926.269464
2024-03-20,6423.134599,215705.85,2,69,39.878838,0.8695652173913043,74,Greed,1,152349.40406300002
2024-03-21,2335.5080749999997,117895.57,3,28,16.394750000000002,0.8214285714285714,78,Extreme Greed,1,154684.912138
2024-03-24,1297.018477,92592.20999999999,1,19,8.888837,0.7894736842105263,74,Greed,1,155981.93061500002
2024-03-25,1302.916428,57116.32,1,7,19.990712,0.8571428571428571,75,Extreme Greed,1,157284.84704300002
2024-03-26,3215.906593,198565.19,2,118,28.147402999999997,0.9322033898305084,81,Extreme Greed,1,160500.753636
2024-03-27,150.41114,99864.79,2,38,31.717952,0.3157894736842105,83,Extreme Greed,1,160651.16477600002
2024-03-28,227.85100799999998,35323.72,2,13,9.059229,0.6923076923076923,80,Extreme Greed,1,160879.01578400002
2024-03-29,883.097404,86914.37,1,15,30.420029999999997,0.4,79,Extreme Greed,1,161762.11318800002
2024-03-30,1100.57514,101103.92,1,45,9.939454,0.9777777777777777,75,Extreme Greed,1,162862.68832800002
2024-03-31,912.786145,39912.96,1,13,13.969522000000001,0.7692307692307693,75,Extreme Greed,1,163775.474473
2024-04-01,2507.963406,339470.47,2,77,83.751362,0.5454545454545454,79,Extreme Greed,1,166283.437879
2024-04-02,883.760812,239664.50999999998,2,41,80.13257399999999,0.2926829268292683,79,Extreme Greed,1,167167.198691
2024-04-03,126.7884,16887.57,2,4,1.661201,0.25,71,Greed,0,167293.987091
2024-04-04,0.0,95987.73,1,32,33.595684999999996,0.0,70,Greed,1,167293.987091
2024-04-05,10706.484306,503791.8,3,100,103.430138,0.9,79,Extreme Greed,1,178000.471397
2024-04-06,236.33513399999998,68223.67,1,16,23.878277,0.25,75,Extreme Greed,0,178236.80653099998
2024-04-07,0.0,49988.14,1,23,17.495845,0.0,78,Extreme Greed,1,178236.80653099998
2024-04-08,1218.4267,211940.64,2,30,61.790548,0.03333333333333333,76,Extreme Greed,0,179455.233231
2024-04-09,0.0,57063.840000000004,1,3,19.972341,0.0,80,Extreme Greed,1,179455.233231
2024-04-10,5207.443414,351735.97,1,41,123.107562,0.8780487804878049,78,Extreme Greed,1,184662.676645
2024-04-11,389.743164,76400.96,1,16,26.740329,0.125,76,Extreme Greed,0,185052.419809
2024-04-12,-592.6458390000001,442088.59,3,129,97.560875,0.5503875968992248,79,Extreme Greed,1,184459.77397
2024-04-13,6621.451755,486411.25,2,89,118.999176,0.6853932584269663,72,Greed,0,191081.225725
2024-04-14,-36104.012520000004,659162.17,2,107,213.477404,0.308411214953271,72,Greed,1,154977.21320499998
2024-04-15,3774.08872,291111.19,2,41,40.650603999999994,0.8536585365853658,74,Greed,1,158751.30192499998
2024-04-16,2467.702221,181907.17,2,47,18.457685,0.9148936170212766,65,Greed,1,161219.004146
2024-04-17,2441.4683999999997,97562.99,1,14,10.620963,0.9285714285714286,67,Greed,1,163660.472546
2024-04-19,1946.4454620000001,337257.92000000004,1,35,118.04025999999999,0.7714285714285715,66,Greed,0,165606.918008
2024-04-20,0.0,60733.24,2,22,121.289047,0.0,66,Greed,0,165606.918008
2024-04-22,0.0,47993.61,1,9,16.797764,0.0,73,Greed,1,165606.918008
2024-04-23,1119.536196,233054.9,2,66,71.308476,0.5303030303030303,71,Greed,1,166726.454204
2024-04-24,279.185907,141275.24,1,20,49.446315999999996,0.3,72,Greed,0,167005.64011100002
2024-04-25,0.0,120241.01,2,74,160.159512,0.0,72,Greed,0,167005.64011100002
2024-04-26,0.0,4988.290000000001,1,3,1.745898,0.0,70,Greed,1,167005.64011100002
2024-04-27,4281.488139,154264.47,1,27,53.99255,0.7037037037037037,67,Greed,0,171287.12825
2024-04-28,0.0,43985.6,2,58,15.394946,0.0,65,Greed,1,171287.12825
2024-04-29,526.9338359999999,108699.01,2,45,38.04463,0.37777777777777777,67,Greed,0,171814.06208600002
2024-04-30,0.0,125018.75,1,24,43.75655,0.0,67,Greed,0,171814.06208600002
2024-05-01,0.0,87025.45,1,14,30.458908,0.0,54,Neutral,1,171814.06208600002
2024-05-03,5306.017045,282682.64999999997,3,36,98.910681,0.4722222222222222,48,Neutral,0,177120.079131
2024-05-04,0.0,58998.75,2,9,20.649559,0.0,67,Greed,1,177120.079131
2024-05-05,0.916,24068.350000000002,2,6,8.412778,0.16666666666666666,69,Greed,1,177120.995131
2024-05-06,968.59038,206016.43,1,9,72.105746,0.4444444444444444,71,Greed,1,178089.585511
2024-05-07,883.537693,108717.58,3,18,38.039061,0.5,68,Greed,1,178973.123204
2024-05-08,1.56576,65973.57,2,13,23.076826,0.07692307692307693,64,Greed,1,178974.688964
2024-05-09,1147.595856,221966.12,2,28,77.688132,0.39285714285714285,55,Greed,1,180122.28482
2024-05-10,2101.741695,156882.0,1,22,54.90869,0.2727272727272727,66,Greed,1,182224.026515
2024-05-11,251.604742,63248.95,1,9,22.137125,1.0,53,Neutral,0,182475.631257
2024-05-12,0.0,55179.56,2,23,19.312829,0.0,56,Greed,1,182475.631257
2024-05-13,2136.853859,193118.9,2,28,67.591599,0.35714285714285715,57,Greed,1,184612.485116
2024-05-14,1150.5233050000002,145853.4,1,23,51.048685,0.17391304347826086,66,Greed,1,185763.008421
2024-05-15,948.970582,234922.57,1,36,82.222887,0.4722222222222222,64,Greed,1,186711.97900300001
2024-05-16,214.5898,162620.96,2,27,56.91732,0.18518518518518517,70,Greed,1,186926.568803
2024-05-18,3522.3946610000003,126303.14,1,25,44.206092,0.64,73,Greed,0,190448.963464
2024-05-19,0.0,29998.09,1,8,10.499327000000001,0.0,72,Greed,0,190448.963464
2024-05-20,-74.818442,38124.75,2,10,13.343662,0.0,70,Greed,1,190374.145022
2024-05-21,7289.397571999999,1100948.59,2,125,385.331944,0.112,76,Extreme Greed,0,197663.542594
2024-05-22,0.0,44995.29,1,6,15.748349000000001,0.0,76,Extreme Greed,1,197663.542594
2024-05-23,413.347329,401850.6,3,325,113.43007899999999,0.4461538461538462,76,Extreme Greed,1,198076.889923
2024-05-24,821.949278,50811.899999999994,1,2,17.784165,1.0,74,Greed,1,198898.839201
2024-05-25,14.126038999999999,29991.129999999997,2,16,10.246887000000001,0.3125,76,Extreme Greed,1,198912.96524
2024-05-26,778.6839,53976.67,2,16,18.768190999999998,0.25,75,Extreme Greed,1,199691.64914
2024-05-27,1129.35587,151115.72,1,251,45.832466,0.35856573705179284,74,Greed,1,200821.00501
2024-05-29,277.791953,84268.76,2,164,36.876599,0.4146341463414634,72,Greed,1,201098.796963
2024-05-30,20.951433,2838.09,1,7,0.993326,0.7142857142857143,73,Greed,1,201119.748396
2024-05-31,25.35812,3636.14,1,13,1.272646,0.3076923076923077,73,Greed,1,201145.106516
2024-06-01,91.510419,12834.62,1,25,4.492106,0.36,72,Greed,1,201236.616935
2024-06-02,192.906947,29464.51,1,93,7.792912,0.3655913978494624,73,Greed,1,201429.523882
2024-06-03,562.808208,21466.86,1,70,5.378086,0.6285714285714286,73,Greed,1,201992.33209
2024-06-04,52.211438,24243.41,1,53,7.432953,0.4716981132075472,73,Greed,1,202044.543528
2024-06-05,56.055506,25350.77,1,54,7.1040600000000005,0.2962962962962963,75,Extreme Greed,1,202100.599034
2024-06-06,274.173187,137557.76,1,234,37.079424,0.42735042735042733,78,Extreme Greed,1,202374.77222100002
2024-06-07,8902.467416,1098588.76,3,440,372.962664,0.4,77,Extreme Greed,1,211277.23963700002
2024-06-08,129.13883900000002,97351.88,2,29,34.073137,0.27586206896551724,72,Greed,0,211406.378476
2024-06-09,0.0,22410.22,2,17,7.515775,0.0,75,Extreme Greed,1,211406.378476
2024-06-10,31.266804999999998,46587.93,2,53,14.696328000000001,0.33962264150943394,72,Greed,1,211437.645281
2024-06-11,4320.631811,373279.92,3,123,129.928213,0.13821138211382114,74,Greed,0,215758.277092
2024-06-12,-21886.531493,193407.96,2,254,63.921417,0.08267716535433071,72,Greed,1,193871.74559900002
2024-06-13,6632.757115,132577.22,2,79,33.39975,0.24050632911392406,70,Greed,1,200504.502714
2024-06-14,10258.592609,139868.66,2,31,38.954076,0.4838709677419355,74,Greed,1,210763.095323
2024-06-15,3369.958346,718350.25,2,78,251.422549,0.48717948717948717,74,Greed,0,214133.053669
2024-06-16,0.0,25235.079999999998,1,11,8.832277,0.0,71,Greed,1,214133.053669
2024-06-17,10599.502375,368380.12,2,38,128.93302500000001,0.6578947368421053,71,Greed,1,224732.556044
2024-06-18,282.57636,263314.79,2,25,67.160258,0.16,74,Greed,1,225015.132404
2024-06-19,4887.656944,417071.12,3,61,138.851743,0.5081967213114754,64,Greed,1,229902.789348
2024-06-20,57478.456026,207990.8,3,39,13.46905,0.20512820512820512,60,Greed,1,287381.245374
2024-06-21,773.5582039999999,176264.49,2,80,61.277099,0.0375,63,Greed,1,288154.803578
2024-06-22,756.876565,169594.27000000002,2,24,40.533382,0.3333333333333333,53,Neutral,0,288911.680143
2024-06-23,0.0,1792.12,1,5,0.17921199999999998,0.0,55,Greed,0,288911.680143
2024-06-24,0.0,403002.8,2,31,103.551001,0.0,51,Neutral,1,288911.680143
2024-06-25,4869.353105,103099.08,1,49,36.084651,0.22448979591836735,30,Fear,1,293781.03324799996
2024-06-26,4197.732182,365190.66000000003,2,72,127.5543,0.2916666666666667,46,Neutral,0,297978.76542999997
2024-06-27,0.0,130486.95,2,30,45.556012,0.0,40,Fear,1,297978.76542999997
2024-06-29,6150.326145,280095.11,2,75,460.295231,0.32,30,Fear,0,304129.09157499997
2024-06-30,0.0,30520.69,2,14,17.057669,0.0,47,Neutral,1,304129.09157499997
2024-07-01,5065.839308,362670.14999999997,2,64,425.323025,0.40625,53,Neutral,1,309194.93088299996
2024-07-02,2421.253116,33347.47,1,18,11.458730000000001,0.7222222222222222,51,Neutral,1,311616.18399899994
2024-07-03,1118.387284,179600.66,2,18,62.628682,0.2222222222222222,50,Neutral,0,312734.57128299994
2024-07-04,0.0,430568.01,2,25,113.02464499999999,0.0,44,Fear,0,312734.57128299994
2024-07-05,0.0,272289.89,2,32,95.130717,0.0,29,Fear,1,312734.57128299994
2024-07-06,108.87217799999999,2490.17,1,24,344.35416,0.2916666666666667,26,Fear,1,312843.44346099993
2024-07-07,61.428942,498.75,1,10,0.049875,1.0,29,Fear,0,312904.87240299996
2024-07-08,0.0,497.64,1,1,0.0156,0.0,28,Fear,1,312904.87240299996
2024-07-09,648.984412,2736.45,1,15,0.39756800000000003,1.0,27,Fear,1,313553.85681499995
2024-07-10,11977.734907,687900.21,2,56,240.76504,0.6785714285714286,28,Fear,1,325531.5917219999
2024-07-11,1876.812082,169887.02,1,19,59.460443,0.47368421052631576,29,Fear,1,327408.40380399994
2024-07-12,1412.314654,89582.97,2,19,31.354029,0.47368421052631576,25,Fear,1,328820.71845799993
2024-07-13,2913.617837,139189.19,2,17,48.71621,1.0,25,Fear,0,331734.3362949999
2024-07-14,0.0,84001.13,1,7,29.400389,0.0,33,Fear,0,331734.3362949999
2024-07-15,-1.0,198344.85,2,26,68.995769,0.0,52,Neutral,0,331733.3362949999
2024-07-16,0.0,144000.57,1,22,50.400180999999996,0.0,65,Greed,1,331733.3362949999
2024-07-17,1859.269477,626005.53,3,351,206.601913,0.4131054131054131,69,Greed,1,333592.6057719999
2024-07-18,3803.884311,649704.85,2,60,227.396664,0.8,61,Greed,1,337396.4900829999
2024-07-19,2155.891114,150269.42,2,23,52.594288,0.5217391304347826,60,Greed,1,339552.3811969999
2024-07-20,2299.169566,244362.21,2,266,80.758418,0.12406015037593984,74,Greed,0,341851.5507629999
2024-07-21,-2960.716887,234307.46,2,448,64.72334,0.046875,74,Greed,1,338890.8338759999
2024-07-22,1517.119876,304213.8,2,154,97.459536,0.14285714285714285,70,Greed,1,340407.9537519999
2024-07-23,89890.302206,358526.54,3,370,59.243126000000004,0.8891891891891892,71,Greed,1,430298.25595799985
2024-07-24,625.561479,69207.93,5,90,55.067279,0.2,69,Greed,1,430923.8174369999
2024-07-25,916.7382600000001,528555.31,3,78,224.185916,0.1282051282051282,68,Greed,1,431840.5556969999
2024-07-26,2766.513113,548587.65,4,152,206.567015,0.40131578947368424,68,Greed,1,434607.0688099999
2024-07-27,6400.623656,905199.75,2,57,316.819894,0.7368421052631579,72,Greed,1,441007.6924659999
2024-07-28,587.29903,43254.68,2,16,15.139122,0.75,71,Greed,1,441594.9914959999
2024-07-29,330.80445399999996,327199.14,2,39,114.519684,0.41025641025641024,74,Greed,0,441925.79594999994
2024-07-30,0.0,36006.47,1,6,12.602264,0.0,67,Greed,1,441925.79594999994
2024-07-31,765.690884,84506.54,2,43,29.577267000000003,0.32558139534883723,61,Greed,1,442691.4868339999
2024-08-01,167.080017,227774.53,4,57,108.095036,0.07017543859649122,52,Neutral,1,442858.5668509999
2024-08-02,782.3681909999999,396320.37,3,63,145.520462,0.2698412698412698,57,Greed,1,443640.9350419999
2024-08-03,464.1897,290532.86,5,37,108.653106,0.02702702702702703,37,Fear,0,444105.1247419999
2024-08-04,-122672.000883,1207744.07,5,127,445.902235,0.023622047244094488,34,Fear,0,321433.1238589999
2024-08-05,-13013.665169,420495.4,4,80,202.719158,0.4125,26,Fear,1,308419.45868999994
2024-08-06,267.318048,61478.38,2,107,62.621279,0.12149532710280374,17,Extreme Fear,1,308686.7767379999
2024-08-07,188.789255,2492.77,3,33,3.7522038,0.30303030303030304,29,Fear,0,308875.56599299994
2024-08-08,-40.712216999999995,16299.35,2,9,6.647995,0.0,20,Extreme Fear,1,308834.8537759999
2024-08-09,18082.071276,503204.86,5,144,185.25438068,0.2986111111111111,48,Neutral,0,326916.9250519999
2024-08-10,0.0,11339.29,2,88,50.0831879,0.0,40,Fear,1,326916.9250519999
2024-08-11,847.7766200000001,44230.21,2,24,40.931287,0.16666666666666666,39,Fear,1,327764.70167199994
2024-08-12,858.6705000000001,54167.32,3,48,36.071895,0.125,25,Fear,1,328623.37217199994
2024-08-13,212.08102,20797.87,3,23,17.932876999999998,0.34782608695652173,31,Fear,1,328835.4531919999
2024-08-14,2168.9015130000003,66710.03,3,25,46.493106,0.2,30,Fear,0,331004.35470499995
2024-08-15,0.0,1522.3700000000001,1,12,16.50261,0.0,29,Fear,1,331004.35470499995
2024-08-16,825.230544,166382.84,2,35,81.187942,0.08571428571428572,27,Fear,0,331829.58524899994
2024-08-17,-288.283113,30248.96,2,30,17.096539,0.0,25,Fear,1,331541.30213599995
2024-08-18,307.201888,62804.48,2,15,21.981557000000002,0.8,31,Fear,1,331848.50402399997
2024-08-19,339.69958299999996,100315.03,1,8,35.110258,0.625,28,Fear,1,332188.20360699994
2024-08-20,192.602844,49914.8,2,12,17.470174,0.08333333333333333,30,Fear,1,332380.8064509999
2024-08-21,656.200925,104990.41,2,145,36.746583,0.3724137931034483,26,Fear,1,333037.00737599994
2024-08-23,1005.30527,63509.56,1,10,22.228341999999998,0.3,34,Fear,0,334042.31264599995
2024-08-24,0.0,34999.67,2,7,12.249882,0.0,56,Greed,0,334042.31264599995
2024-08-25,0.0,21950.28,2,17,26.303603,0.0,54,Neutral,1,334042.31264599995
2024-08-26,231.236918,92611.27,2,6,32.302932,0.3333333333333333,55,Greed,0,334273.5495639999
2024-08-27,0.0,70250.16,2,50,52.053552,0.0,48,Neutral,1,334273.5495639999
2024-08-28,1333.359645,71160.06999999999,2,9,24.906026,0.2222222222222222,30,Fear,0,335606.90920899995
2024-08-29,0.0,9995.85,1,1,3.498547,0.0,29,Fear,1,335606.90920899995
2024-08-30,256.464,37233.24,4,6,13.031175999999999,0.16666666666666666,34,Fear,1,335863.3732089999
2024-08-31,10.882801,107507.43000000001,3,34,39.955315,0.35294117647058826,29,Fear,1,335874.25600999995
2024-09-01,137.433093,12359.68,1,12,4.325861,0.4166666666666667,26,Fear,0,336011.689103
2024-09-02,0.0,30000.42,1,2,10.500148,0.0,26,Fear,1,336011.689103
2024-09-04,1065.785132,131480.97,2,34,63.570226999999996,0.14705882352941177,27,Fear,0,337077.474235
2024-09-05,0.0,0.84,1,1,0.0,0.0,29,Fear,0,337077.474235
2024-09-06,-1104.856765,39047.1,2,42,13.666476,0.0,22,Extreme Fear,0,335972.61747
2024-09-08,0.0,0.11,1,1,0.0,0.0,29,Fear,0,335972.61747
2024-09-09,0.0,4014.4300000000003,1,2,34.9079,0.0,26,Fear,0,335972.61747
2024-09-10,-219.729659,2547.28,2,3,7.2904,0.0,33,Fear,0,335752.887811
2024-09-11,0.0,0.54,1,1,0.0,0.0,37,Fear,0,335752.887811
2024-09-14,0.0,1014.8000000000001,2,11,30.381330000000002,0.0,50,Neutral,0,335752.887811
2024-09-18,-878.684794,13633.5,1,145,31.732943,0.0,45,Neutral,0,334874.203017
2024-09-19,0.0,1521.8700000000001,1,19,28.60766,0.0,49,Neutral,1,334874.203017
2024-09-20,9585.03428,332873.38,2,16,109.317031,0.5,54,Neutral,1,344459.237297
2024-09-21,36165.56933,165648.12,1,23,57.976841,1.0,54,Neutral,0,380624.806627
2024-09-22,0.0,19999.739999999998,1,3,6.999907,0.0,52,Neutral,1,380624.806627
2024-09-23,334.760796,40334.29,1,2,14.117002000000001,0.5,50,Neutral,0,380959.567423
2024-09-24,0.0,7118.63,2,10,12.966142,0.0,54,Neutral,0,380959.567423
2024-09-25,0.0,52754.130000000005,2,9,17.764677,0.0,59,Greed,1,380959.567423
2024-09-26,439.812513,113711.93000000001,2,8,31.348204,0.25,50,Neutral,0,381399.379936
2024-09-27,0.0,126097.04,2,56,37.503311,0.0,61,Greed,0,381399.379936
2024-09-28,0.0,29199.21,1,4,2.8031200000000003,0.0,64,Greed,1,381399.379936
2024-09-30,2710.626288,214669.85,2,106,65.637576,0.04716981132075472,61,Greed,0,384110.006224
2024-10-01,0.0,139954.32,1,4,48.98401,0.0,50,Neutral,0,384110.006224
2024-10-02,0.0,99954.34,1,4,34.984016999999994,0.0,42,Fear,1,384110.006224
2024-10-03,100.375782,132935.69,2,9,46.527491000000005,0.3333333333333333,37,Fear,0,384210.382006
2024-10-04,0.0,0.34,1,1,0.0,0.0,41,Fear,1,384210.382006
